"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://squeegeedetail.com/","text/html;charset=utf-8","200","OK","","","Squeegee: Professional Car Detailing Portland | Auto Detailing Portland","71","634","Experience car detailing service in Portland with Squeegee. We offer auto 
detailing services at Portland, Oregon, Beaverton, Lake Oswego, and more.","149","910","","","Car Detailing Portland","22","","0","","","","","","https://squeegeedetail.com/","","","","","","","","","","","","","","","","","0","0","","331","65","0","97.010","106","37","0","19","18","0","","","","","","","","","","","en-US","1.1","","https://squeegeedetail.com/","2025-05-30 15:58:09"
"https://squeegeedetail.com/smoke-odor-removal","","301","Moved Permanently","","","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","1","0","","5","5","0","7.460","0","0","0","0","0","0","","","","","","","","http://squeegeedetail.com/smoke-odor-removal-portland","HTTP Redirect","","","1.1","","https://squeegeedetail.com/smoke-odor-removal","2025-05-30 15:58:11"
"https://squeegeedetail.com/premium-car-wash-portland","text/html;charset=utf-8","200","OK","","","Premium Car Wash At Your Location — Squeegee","44","442","Looking for a premium car wash that leaves your vehicle looking clean and 
shiny, without any swirls, water spots, or drips? Look no further than our 
expert mobile car wash services in Portland!","197","1182","","","Premium Car Wash Portland","25","1","1","","","","","","https://squeegeedetail.com/premium-car-wash-portland","","","","","","","","","","","","","","","","","1","0","","261","65","0","97.010","93","31","0","8","7","0","","","","","","","","","","","en-US","1.1","","https://squeegeedetail.com/premium-car-wash-portland","2025-05-30 15:58:12"
"https://squeegeedetail.com/blog","text/html;charset=utf-8","200","OK","","","Portland Car Detailing Blog | Squeegee Portland — Squeegee","58","540","","0","0","","","BLOG","4","","0","","","","","","https://squeegeedetail.com/blog","","","","","","","","","","","","","","","","","1","0","","196","65","0","97.010","171","59","0","6","6","0","","","","","","","","","","","en-US","1.1","","https://squeegeedetail.com/blog","2025-05-30 15:58:12"
"https://squeegeedetail.com/terms-and-condition","text/html;charset=utf-8","200","OK","","","Privacy and Policy — Squeegee","29","276","","0","0","","","Privacy Policy Information","26","","0","","","","","","https://squeegeedetail.com/terms-and-condition","","","","","","","","","","","","","","","","","1","0","","66","65","0","97.010","82","29","0","7","7","0","","","","","","","","","","","en-US","1.1","","https://squeegeedetail.com/terms-and-condition","2025-05-30 15:58:12"
"https://squeegeedetail.com/car-detailing-pricing-portland","text/html;charset=utf-8","200","OK","","","Car Detailing Pricing Portland | Squeegee — Squeegee","52","482","We offer mobile car detailing services in Portland. Do check our car 
detailing pricing today and Book a session online, OR. Call us today!","140","828","","","Car Detailing Pricing","21","","0","","","","","","https://squeegeedetail.com/car-detailing-pricing-portland","","","","","","","","","","","","","","","","","1","0","","267","65","0","97.010","84","29","0","8","7","0","","","","","","","","","","","en-US","1.1","","https://squeegeedetail.com/car-detailing-pricing-portland","2025-05-30 15:58:13"
"https://squeegeedetail.com/engine-cleaning","","301","Moved Permanently","","","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","1","0","","9","7","0","10.450","0","0","0","0","0","0","","","","","","","","http://squeegeedetail.com/engine-cleaning-portland","HTTP Redirect","","","1.1","","https://squeegeedetail.com/engine-cleaning","2025-05-30 15:58:13"
"https://squeegeedetail.com/full-interior-detailing","text/html;charset=utf-8","200","OK","","","Top Car Interior Detailing in Portland — Squeegee","49","440","Say goodbye to pet hair, spilled drinks, and food crumbs in your car with 
our expert interior car detailing cleaning services! At our company, we 
specialize in tackling even the toughest interior messes, leaving your 
vehicle looking and smelling like new.","261","1523","","","Car Interior Detailing Portland","31","1","1","","","","","","https://squeegeedetail.com/full-interior-detailing","","","","","","","","","","","","","","","","","1","0","","285","65","0","97.010","82","29","0","10","9","0","","","","","","","","","","","en-US","1.1","","https://squeegeedetail.com/full-interior-detailing","2025-05-30 15:58:13"
"https://squeegeedetail.com/premium-car-wash","","301","Moved Permanently","","","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","1","0","","23","16","0","23.880","0","0","0","0","0","0","","","","","","","","http://squeegeedetail.com/premium-car-wash-portland","HTTP Redirect","","","1.1","","https://squeegeedetail.com/premium-car-wash","2025-05-30 15:58:13"
"https://squeegeedetail.com/full-exterior-detailing-portland","text/html;charset=utf-8","200","OK","","","Portland's Finest Car Exterior Detailing — Squeegee","51","458","Looking for high-quality exterior detailing services in Portland? Look no 
further than Squeegee. Our expert technicians use the latest techniques and 
equipment to clean and restore your vehicle's exterior to a like-new 
condition.","235","1383","","","Full Car Exterior Detailing","27","1","1","","","","","","https://squeegeedetail.com/full-exterior-detailing-portland","","","","","","","","","","","","","","","","","1","0","","262","65","0","97.010","82","29","0","9","8","0","","","","","","","","","","","en-US","1.1","","https://squeegeedetail.com/full-exterior-detailing-portland","2025-05-30 15:58:14"
